rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
136,frame_0094.jpg,37.6,0.4416,0.6032,0.3333,0.2,5,2,False,False
137,frame_0122.jpg,48.8,0.4387,0.4374,0.3333,0.6,10,2,False,False
138,frame_0103.jpg,41.2,0.4369,0.5098,0.5,0.16,7,3,False,False
139,frame_0397.jpg,158.8,0.4365,0.693,0.1667,0.2,6,1,False,False
140,frame_0390.jpg,156.0,0.4343,0.5365,0.5,0.08,12,3,False,False
141,frame_0368.jpg,147.2,0.4331,0.7502,0.1667,0.04,11,1,False,False
142,frame_0230.jpg,92.0,0.432,0.5159,0.5,0.12,11,3,False,False
143,frame_0123.jpg,49.2,0.4312,0.5064,0.1667,0.64,9,1,False,False
144,frame_0322.jpg,128.8,0.4308,0.5977,0.3333,0.16,10,2,False,False
145,frame_0212.jpg,84.8,0.43,0.42,0.3333,0.6,4,2,False,False
146,frame_0378.jpg,151.2,0.4295,0.5271,0.5,0.08,11,3,False,False
147,frame_0013.jpg,5.2,0.4281,0.3562,0.1667,1.0,3,1,False,False
148,frame_0399.jpg,159.6,0.4276,0.5433,0.3333,0.28,8,2,False,False
149,frame_0202.jpg,80.8,0.4266,0.5131,0.1667,0.6,4,1,False,False
150,frame_0296.jpg,118.4,0.4254,0.5949,0.0,0.64,8,0,False,False
151,frame_0290.jpg,116.0,0.4247,0.4294,0.1667,0.8,6,1,False,False
152,frame_0222.jpg,88.8,0.4245,0.569,0.3333,0.2,9,2,False,False
153,frame_0229.jpg,91.6,0.4201,0.5081,0.5,0.08,9,3,False,False
154,frame_0300.jpg,120.0,0.4186,0.4452,0.3333,0.48,9,2,False,False
155,frame_0129.jpg,51.6,0.4168,0.4815,0.0,0.88,6,0,False,False
156,frame_0176.jpg,70.4,0.4166,0.5372,0.3333,0.24,9,2,False,False
157,frame_0025.jpg,10.0,0.4151,0.4302,0.0,1.0,4,0,False,False
158,frame_0303.jpg,121.2,0.4147,0.4854,0.3333,0.36,10,2,False,False
159,frame_0185.jpg,74.0,0.4146,0.5973,0.3333,0.08,7,2,False,False
160,frame_0309.jpg,123.6,0.4129,0.5778,0.3333,0.12,9,2,False,False
161,frame_0177.jpg,70.8,0.412,0.544,0.3333,0.2,7,2,False,False
162,frame_0131.jpg,52.4,0.41,0.4359,0.0,0.96,6,0,False,False
163,frame_0214.jpg,85.6,0.4035,0.4989,0.1667,0.52,3,1,False,False
164,frame_0121.jpg,48.4,0.4004,0.3768,0.3333,0.56,7,2,False,False
165,frame_0105.jpg,42.0,0.399,0.6659,0.1667,0.08,8,1,False,False
166,frame_0028.jpg,11.2,0.3897,0.2794,0.1667,1.0,6,1,False,False
167,frame_0097.jpg,38.8,0.3881,0.5443,0.3333,0.08,8,2,False,False
168,frame_0106.jpg,42.4,0.3878,0.5596,0.3333,0.04,8,2,False,False
169,frame_0228.jpg,91.2,0.3831,0.5502,0.3333,0.04,7,2,False,False
170,frame_0398.jpg,159.2,0.3806,0.4653,0.3333,0.24,6,2,False,False
171,frame_0096.jpg,38.4,0.3795,0.6109,0.1667,0.12,8,1,False,False
172,frame_0210.jpg,84.0,0.3762,0.3804,0.1667,0.68,6,1,False,False
173,frame_0087.jpg,34.8,0.3756,0.5591,0.0,0.48,6,0,False,False
174,frame_0192.jpg,76.8,0.3754,0.4709,0.3333,0.2,5,2,False,False
175,frame_0211.jpg,84.4,0.3752,0.4945,0.0,0.64,4,0,False,False
176,frame_0090.jpg,36.0,0.3747,0.5054,0.1667,0.36,9,1,False,False
177,frame_0022.jpg,8.8,0.3733,0.2465,0.1667,1.0,3,1,False,False
178,frame_0293.jpg,117.2,0.3692,0.3344,0.1667,0.76,6,1,False,False
179,frame_0274.jpg,109.6,0.3689,0.4738,0.3333,0.16,9,2,False,False
180,frame_0110.jpg,44.0,0.3687,0.3894,0.5,0.12,6,3,False,False
181,frame_0098.jpg,39.2,0.3685,0.521,0.3333,0.04,10,2,False,False
182,frame_0389.jpg,155.6,0.3669,0.5857,0.1667,0.12,9,1,False,False
183,frame_0288.jpg,115.2,0.3663,0.3446,0.1667,0.72,6,1,False,False
184,frame_0079.jpg,31.6,0.3632,0.3064,0.1667,0.8,8,1,False,False
185,frame_0372.jpg,148.8,0.3599,0.4718,0.3333,0.12,9,2,False,False
186,frame_0195.jpg,78.0,0.3592,0.4903,0.1667,0.32,7,1,False,False
187,frame_0100.jpg,40.0,0.3562,0.3964,0.5,0.04,7,3,False,False
188,frame_0006.jpg,2.4,0.3557,0.3113,0.0,1.0,5,0,False,False
189,frame_0314.jpg,125.6,0.3555,0.479,0.3333,0.08,7,2,False,False
190,frame_0088.jpg,35.2,0.3523,0.4285,0.1667,0.44,6,1,False,False
191,frame_0084.jpg,33.6,0.3498,0.3596,0.1667,0.6,8,1,False,False
192,frame_0117.jpg,46.8,0.3481,0.4362,0.1667,0.4,5,1,False,False
193,frame_0281.jpg,112.4,0.3456,0.5152,0.0,0.44,6,0,False,False
194,frame_0199.jpg,79.6,0.3453,0.4986,0.0,0.48,1,0,False,False
195,frame_0190.jpg,76.0,0.3439,0.4398,0.3333,0.12,7,2,False,False
196,frame_0272.jpg,108.8,0.3432,0.4544,0.3333,0.08,6,2,False,False
197,frame_0289.jpg,115.6,0.3431,0.2821,0.1667,0.76,8,1,False,False
198,frame_0320.jpg,128.0,0.3429,0.4898,0.1667,0.24,11,1,False,False
199,frame_0282.jpg,112.8,0.3422,0.3924,0.1667,0.48,7,1,False,False
200,frame_0008.jpg,3.2,0.3417,0.2834,0.0,1.0,3,0,False,False
201,frame_0118.jpg,47.2,0.3417,0.4074,0.1667,0.44,8,1,False,False
202,frame_0284.jpg,113.6,0.3411,0.4582,0.0,0.56,5,0,False,False
203,frame_0271.jpg,108.4,0.3396,0.4632,0.3333,0.04,8,2,False,False
204,frame_0329.jpg,131.6,0.3365,0.541,0.1667,0.08,13,1,False,False
205,frame_0204.jpg,81.6,0.3354,0.2987,0.1667,0.68,3,1,False,False
206,frame_0111.jpg,44.4,0.3346,0.4053,0.3333,0.16,5,2,False,False
207,frame_0381.jpg,152.4,0.3318,0.5476,0.1667,0.04,6,1,False,False
208,frame_0267.jpg,106.8,0.3284,0.4088,0.3333,0.12,5,2,False,False
209,frame_0194.jpg,77.6,0.3281,0.5443,0.0,0.28,4,0,False,False
210,frame_0196.jpg,78.4,0.3239,0.5037,0.0,0.36,3,0,False,False
211,frame_0323.jpg,129.2,0.3223,0.4965,0.1667,0.12,11,1,False,False
212,frame_0220.jpg,88.0,0.3207,0.4294,0.1667,0.28,6,1,False,False
213,frame_0173.jpg,69.2,0.3163,0.3886,0.1667,0.36,7,1,False,False
214,frame_0217.jpg,86.8,0.313,0.366,0.1667,0.4,5,1,False,False
215,frame_0376.jpg,150.4,0.3117,0.5595,0.0,0.16,8,0,False,False
216,frame_0092.jpg,36.8,0.3093,0.3067,0.3333,0.28,6,2,False,False
217,frame_0396.jpg,158.4,0.3077,0.4513,0.1667,0.16,8,1,False,False
218,frame_0393.jpg,157.2,0.299,0.3821,0.3333,0.04,8,2,False,False
219,frame_0091.jpg,36.4,0.2989,0.3697,0.1667,0.32,4,1,False,False
220,frame_0304.jpg,121.6,0.2978,0.3675,0.1667,0.32,7,1,False,False
221,frame_0178.jpg,71.2,0.297,0.3301,0.3333,0.16,8,2,False,False
222,frame_0027.jpg,10.8,0.2958,0.1915,0.0,1.0,6,0,False,False
223,frame_0308.jpg,123.2,0.2937,0.4234,0.1667,0.16,7,1,False,False
224,frame_0268.jpg,107.2,0.2898,0.3476,0.3333,0.08,5,2,False,False
225,frame_0189.jpg,75.6,0.2856,0.4391,0.1667,0.08,6,1,False,False
226,frame_0108.jpg,43.2,0.2841,0.4521,0.1667,0.04,8,1,False,False
227,frame_0208.jpg,83.2,0.2831,0.2621,0.0,0.76,5,0,False,False
228,frame_0332.jpg,132.8,0.2817,0.5474,0.0,0.04,10,0,False,False
229,frame_0273.jpg,109.2,0.2784,0.4088,0.1667,0.12,6,1,False,False
230,frame_0183.jpg,73.2,0.2773,0.3386,0.3333,0.04,6,2,False,False
231,frame_0184.jpg,73.6,0.2773,0.5226,0.0,0.08,8,0,False,False
232,frame_0201.jpg,80.4,0.2771,0.3301,0.0,0.56,4,0,False,False
233,frame_0218.jpg,87.2,0.2711,0.2981,0.1667,0.36,5,1,False,False
234,frame_0119.jpg,47.6,0.2645,0.237,0.1667,0.48,6,1,False,False
235,frame_0285.jpg,114.0,0.2645,0.289,0.0,0.6,5,0,False,False
236,frame_0093.jpg,37.2,0.262,0.4279,0.0,0.24,4,0,False,False
237,frame_0313.jpg,125.2,0.2586,0.4011,0.1667,0.04,4,1,False,False
238,frame_0174.jpg,69.6,0.2539,0.2798,0.1667,0.32,7,1,False,False
239,frame_0085.jpg,34.0,0.2534,0.2827,0.0,0.56,7,0,False,False
240,frame_0219.jpg,87.6,0.2525,0.2769,0.1667,0.32,5,1,False,False
241,frame_0269.jpg,107.6,0.2525,0.4889,0.0,0.04,6,0,False,False
242,frame_0175.jpg,70.0,0.2452,0.3783,0.0,0.28,8,0,False,False
243,frame_0104.jpg,41.6,0.2434,0.3387,0.1667,0.12,8,1,False,False
244,frame_0102.jpg,40.8,0.2376,0.3271,0.1667,0.12,7,1,False,False
245,frame_0191.jpg,76.4,0.2369,0.3097,0.1667,0.16,7,1,False,False
246,frame_0206.jpg,82.4,0.2294,0.1547,0.0,0.76,4,0,False,False
247,frame_0101.jpg,40.4,0.2285,0.325,0.1667,0.08,6,1,False,False
248,frame_0198.jpg,79.2,0.2244,0.2728,0.0,0.44,1,0,False,False
249,frame_0394.jpg,157.6,0.2221,0.4121,0.0,0.08,6,0,False,False
250,frame_0315.jpg,126.0,0.2208,0.3936,0.0,0.12,9,0,False,False
251,frame_0213.jpg,85.2,0.2145,0.2049,0.0,0.56,7,0,False,False
252,frame_0216.jpg,86.4,0.2097,0.2433,0.0,0.44,6,0,False,False
253,frame_0317.jpg,126.8,0.2091,0.3382,0.0,0.2,7,0,False,False
254,frame_0311.jpg,124.4,0.1606,0.3052,0.0,0.04,7,0,False,False
255,frame_0112.jpg,44.8,0.1119,0.1438,0.0,0.2,6,0,False,False
256,frame_0224.jpg,89.6,0.0959,0.1438,0.0,0.12,6,0,False,False
